Engine Size (l),Cyl,HP,Average
3.5,6,225,21
3.5,6,225,21
3.5,6,265,20
3.2,6,290,20.5
2,4,200,27.5
3.2,6,270,24
2.4,4,200,25.5
1.8,4,170,26.5
3,6,220,24
3,6,220,23.5
3,6,220,21.5
3,6,220,21.5
3,6,220,21.5
1.8,4,170,26.5
2.7,6,250,21.5
3,6,220,23.5
3,6,220,21.5
3,6,220,21.5
4.2,8,300,20.5
4.2,8,330,20.5
4.2,8,450,18.5
4.2,8,340,18
4.2,8,340,17
1.8,4,180,24
1.8,4,225,24
3.2,6,250,25
2.5,6,184,24.5
2.5,6,184,23
2.5,6,184,24.5
2.5,6,184,23
2.5,6,184,22.5
3,6,225,25
3,6,225,23.5
3,6,225,25
3,6,225,24.5
2.5,6,184,23.5
3,6,225,25
4.4,8,325,22
4.4,8,325,22
4.4,8,325,22
3.2,6,333,19.5
3.2,6,333,20
3,6,225,19.5
4.4,8,325,19
2.5,6,184,24
3,6,225,25
3.1,6,175,25
3.8,6,205,24.5
3.8,6,205,24.5
3.8,6,205,24.5
3.8,6,240,23
4.2,6,275,18
3.8,6,240,23
3.8,6,200,25
3.4,6,185,22.5
3.6,6,255,21.5
4.6,8,275,22
4.6,8,300,22
6,8,345,15
5.3,8,295,16
4.6,8,275,22
4.6,8,320,18.5
4.6,8,320,21
4.3,6,190,15.5
5.3,8,295,16
1.6,4,103,31
1.6,4,103,31
2.2,4,140,31.5
2.2,4,140,31.5
2.2,4,140,31.5
2.8,4,175,20.5
5.7,8,350,21.5
5.7,8,350,21.5
3.4,6,180,26.5
3.8,6,200,25
3.8,6,240,23
2.2,4,145,29
3.5,6,200,26
3.5,6,200,27.5
3.5,6,200,26
3.4,6,180,26.5
3.8,6,200,23
4.3,6,200,18
6,8,300,15
5.3,8,300,17.5
5.3,8,295,16
5.3,8,295,16
2.5,6,165,20.5
4.2,6,275,18.5
3.4,6,185,22.5
2.4,4,220,24
3.5,6,250,22.5
3.5,6,255,22.5
2.7,6,200,25
3.5,6,232,23
3.2,6,215,21
3.5,6,250,20
2.4,4,150,25.5
2.4,4,150,25.5
2.4,4,150,26
2.4,4,150,26
2.7,6,200,24.5
2.7,6,200,24.5
3.8,6,215,21.5
3.3,6,180,22.5
4.8,8,285,17.5
2.4,4,150,23
3.7,6,210,19
3.7,6,210,19
4.7,8,230,18
3.8,6,215,21.5
3.5,6,232,22.5
2.7,6,200,25
2,4,132,32.5
2,4,132,32.5
3.7,6,215,18.5
2.4,4,150,24.5
2.4,4,150,24.5
8.3,10,500,0
4.6,8,224,21
4.6,8,224,21
4.6,8,239,21
3,6,201,20.5
6.8,10,310,0
4.6,8,232,17
4,6,210,17.5
4.6,8,231,17
5.4,8,300,16
2,4,110,31.5
2,4,130,29.5
2,4,170,24.5
2,4,130,29.5
2,4,130,29.5
2,4,130,29.5
3.9,6,193,20
3.8,6,193,24.5
4.6,8,260,21
2.3,4,143,26.5
3,6,155,23.5
3,6,155,22.5
3,6,201,22.5
3.9,8,280,20.5
2.8,4,175,21.5
4.2,6,275,17
4.3,6,190,18
4.8,8,285,18.5
6,8,300,0
4.3,6,190,17
6,8,325,15
2.4,4,160,30
3,6,240,25.5
2.4,4,160,30
3,6,240,25.5
1.7,4,115,35
1.7,4,127,34.5
1.7,4,117,40
1.4,4,93,48.5
1.7,4,115,35
2,4,160,28
2.4,4,160,23
2.4,4,160,22.5
2,3,73,63
3.5,6,240,21.5
3.5,6,240,21.5
3.5,6,240,19.5
2.2,4,240,22.5
6,8,316,11
1.6,4,103,31
1.6,4,103,31
1.6,4,103,31
2,4,138,30
2,4,138,30
2,4,138,30
2.7,6,173,23
2.7,6,170,23
2.7,6,170,23
2.7,6,172,22.5
3.5,6,194,21.5
3.5,6,194,21.5
3.5,6,280,19
4.5,8,315,17
3.5,6,260,22
3.5,6,260,22
3.5,6,280,22
3.5,6,255,22.5
4.5,8,340,20
4.5,8,340,20
4.2,6,275,17.5
3.2,6,193,19
3,6,235,22
4.2,8,294,23
4.2,8,390,20.5
4.2,8,294,23
4.2,8,294,23
4.2,8,390,20.5
4.2,8,294,22
4.2,8,294,22
4.2,8,390,19.5
4.2,8,390,19.5
2.5,6,192,22
3,6,227,21.5
4,6,195,18.5
2.4,4,150,22
4,6,190,17.5
3.5,6,195,21
2.4,4,138,26.5
2.7,6,170,23.5
1.6,4,104,28.5
1.6,4,104,29.5
1.6,4,104,29.5
3.5,6,195,19
3.5,6,192,17.5
1.8,4,124,28
1.8,4,124,28
1.8,4,124,28
4.6,8,217,14
2.5,6,174,19.5
4.4,8,282,14
3.3,6,225,24.5
3,6,220,21.5
4.3,8,300,20.5
4.7,8,235,17
3,6,215,21
3,6,215,21.5
3,6,215,21
4.3,8,290,21.5
4.7,8,235,15
3.3,6,230,21
4.3,8,300,20.5
4.6,8,302,15.5
3,6,232,23
3,6,232,23
3.9,8,280,20.5
3.9,8,280,20.5
5.4,8,300,15.5
4.6,8,239,21
4.6,8,239,21
4.6,8,239,21
2.3,4,143,26.5
4,6,207,17
3,6,200,21.5
1.8,4,142,25.5
1.8,4,142,25.5
1.3,-1,197,21.5
1.3,-1,238,21
2,4,130,23.5
2,4,148,0
2.3,4,160,0
2.3,4,160,28
1.8,4,189,26
2.6,6,168,22
2.6,6,168,22.5
2.6,6,168,22
3.2,6,349,18.5
3.2,6,215,23
3.2,6,215,23
3.2,6,215,22.5
3.2,6,215,22.5
5,8,302,20
5.5,12,493,16
3.2,6,215,23
5,8,302,19.5
3.2,6,221,23
3.2,6,221,23
5,8,302,20
5,8,302,18
5,8,292,13.5
5,8,288,15.5
4.3,8,275,22
5,8,302,20
5,8,302,19.5
5.5,8,493,17.5
5.5,12,493,16
2.3,4,192,25
3.2,6,349,19.5
4.6,8,224,21
4.6,8,224,21
4.6,8,224,21
4.6,8,302,20
4.2,6,201,19.5
4,6,210,18.5
3,6,155,22.5
3,6,155,23.5
3,6,201,22.5
1.6,4,115,32.5
1.6,4,163,29.5
3.5,6,205,21.5
3,6,210,24.5
3,6,210,24.5
3.8,6,215,19
2.4,4,160,0
3.8,6,230,22
2,4,120,0
2,4,271,22
2,4,120,0
2,4,120,0
2.4,4,160,0
3.8,6,215,17
2.4,4,160,24
3.5,6,287,23
3.5,6,287,23
2.5,4,175,23.5
3.5,6,245,23.5
3.3,6,180,18.5
3.5,6,265,24
3.5,6,265,24
3.5,6,245,22.5
5.6,8,305,16
3.5,6,240,18.5
3.5,6,240,22.5
3.5,6,240,21.5
1.8,4,126,31.5
1.8,4,126,31.5
2.5,4,165,25.5
5.6,8,305,16
3.3,6,180,18.5
3.4,6,170,24.5
2.2,4,140,28
3.4,6,185,22.5
3.4,6,185,22.5
4.6,8,275,0
3.4,6,175,24.5
3.8,6,200,25
3.8,6,200,25
5.7,8,340,0
3.4,6,185,22.5
3.4,6,185,21
2.2,4,140,28.5
2.2,4,140,28.5
1.8,4,130,32.5
3.6,6,315,20.5
3.6,6,315,22
3.6,6,477,20.5
3.6,6,315,22
2.7,6,228,24.5
3.2,6,258,22
4.5,8,340,16
2,4,210,24
2,4,210,25.5
2,4,210,25
2,4,210,24
2.3,4,250,24
2.3,4,250,25
2.3,4,220,25
2.2,4,140,30.5
2.2,4,140,29
3,6,182,24
2.2,4,140,30.5
2.2,4,140,30.5
2.2,4,140,30.5
2.2,4,140,30.5
2.2,4,143,23.5
1.5,4,108,35
1.5,4,108,33
2.5,4,165,24.5
2.5,4,165,24.5
2.5,4,165,25
2,4,227,23.5
2.5,4,300,21
2.5,4,165,24.5
2.5,4,165,24.5
2.5,4,165,24.5
3,6,212,22.5
3,6,212,22.5
2.5,4,165,23.5
2.3,4,155,28
2.3,4,155,28
2.3,4,155,26.5
2,4,119,26
2,4,119,27.5
2.5,6,155,23.5
2.5,6,165,20.5
2.7,6,185,20
4,6,245,19.5
3,6,210,25
3,6,210,25
2.4,4,157,28.5
3,6,210,25
2.4,4,157,28.5
3.3,6,225,24.5
3.3,6,225,24.5
3,6,210,25
1.8,4,180,28.5
1.8,4,130,36
1.8,4,130,36
1.8,4,130,36
1.5,4,108,36
1.5,4,108,39
1.5,4,108,39
3.3,6,230,21
4.7,8,325,15
1.8,4,130,32.5
1.8,4,138,29
1.5,4,110,55
2.4,4,161,24.5
4.7,8,240,15.5
3.3,6,230,23
3.3,6,230,23
2.4,4,142,24.5
3.4,6,190,15.5
3.4,6,190,18
2,4,115,27.5
1.8,4,180,27.5
2,4,115,27
2.8,6,200,25.5
1.9,4,100,42
1.8,4,150,27.5
2,4,115,27
1.8,4,170,26.5
1.8,4,170,26.5
2.8,6,190,22.5
4,8,270,21.5
4,8,270,21.5
4.2,8,335,0
6,12,420,0
3.2,6,220,17.5
2.3,5,242,23
2.4,5,197,24.5
1.9,4,170,25.5
2.5,5,208,23.5
2.5,5,300,21.5
2.3,5,247,24
2.5,5,194,23.5
2.9,6,208,24
2.9,6,268,22.5
1.9,4,170,25.5
2.5,5,208,23.5
2.9,6,268,17.5
