Index,Engine Size (l),Cyl,HP,Average
0,3.5,6,225,21
0,3.5,6,225,21
0,3.5,6,265,20
0,3.2,6,290,20.5
0,2,4,200,27.5
0,3.2,6,270,24
0,2.4,4,200,25.5
0,1.8,4,170,26.5
0,3,6,220,24
0,3,6,220,23.5
0,3,6,220,21.5
0,3,6,220,21.5
0,3,6,220,21.5
0,1.8,4,170,26.5
0,2.7,6,250,21.5
0,3,6,220,23.5
0,3,6,220,21.5
0,3,6,220,21.5
0,4.2,8,300,20.5
0,4.2,8,330,20.5
0,4.2,8,450,18.5
0,4.2,8,340,18
0,4.2,8,340,17
0,1.8,4,180,24
0,1.8,4,225,24
0,3.2,6,250,25
0,2.5,6,184,24.5
0,2.5,6,184,23
0,2.5,6,184,24.5
0,2.5,6,184,23
0,2.5,6,184,22.5
0,3,6,225,25
0,3,6,225,23.5
0,3,6,225,25
0,3,6,225,24.5
0,2.5,6,184,23.5
0,3,6,225,25
0,4.4,8,325,22
0,4.4,8,325,22
0,4.4,8,325,22
0,3.2,6,333,19.5
0,3.2,6,333,20
0,3,6,225,19.5
0,4.4,8,325,19
0,2.5,6,184,24
0,3,6,225,25
0,3.1,6,175,25
0,3.8,6,205,24.5
0,3.8,6,205,24.5
0,3.8,6,205,24.5
0,3.8,6,240,23
0,4.2,6,275,18
0,3.8,6,240,23
0,3.8,6,200,25
0,3.4,6,185,22.5
0,3.6,6,255,21.5
0,4.6,8,275,22
0,4.6,8,300,22
0,6,8,345,15
0,5.3,8,295,16
0,4.6,8,275,22
0,4.6,8,320,18.5
0,4.6,8,320,21
0,4.3,6,190,15.5
0,5.3,8,295,16
0,1.6,4,103,31
0,1.6,4,103,31
0,2.2,4,140,31.5
0,2.2,4,140,31.5
0,2.2,4,140,31.5
0,2.8,4,175,20.5
0,5.7,8,350,21.5
0,5.7,8,350,21.5
0,3.4,6,180,26.5
0,3.8,6,200,25
0,3.8,6,240,23
0,2.2,4,145,29
0,3.5,6,200,26
0,3.5,6,200,27.5
0,3.5,6,200,26
0,3.4,6,180,26.5
0,3.8,6,200,23
0,4.3,6,200,18
0,6,8,300,15
0,5.3,8,300,17.5
0,5.3,8,295,16
0,5.3,8,295,16
0,2.5,6,165,20.5
0,4.2,6,275,18.5
0,3.4,6,185,22.5
0,2.4,4,220,24
0,3.5,6,250,22.5
0,3.5,6,255,22.5
0,2.7,6,200,25
0,3.5,6,232,23
0,3.2,6,215,21
0,3.5,6,250,20
0,2.4,4,150,25.5
0,2.4,4,150,25.5
0,2.4,4,150,26
0,2.4,4,150,26
0,2.7,6,200,24.5
0,2.7,6,200,24.5
0,3.8,6,215,21.5
0,3.3,6,180,22.5
0,4.8,8,285,17.5
0,2.4,4,150,23
0,3.7,6,210,19
0,3.7,6,210,19
0,4.7,8,230,18
0,3.8,6,215,21.5
0,3.5,6,232,22.5
0,2.7,6,200,25
0,2,4,132,32.5
0,2,4,132,32.5
0,3.7,6,215,18.5
0,2.4,4,150,24.5
0,2.4,4,150,24.5
0,8.3,10,500,21
0,4.6,8,224,21
0,4.6,8,224,21
0,4.6,8,239,20.5
0,3,6,201,17
0,6.8,10,310,17.5
0,4.6,8,232,17
0,4,6,210,16
0,4.6,8,231,31.5
0,5.4,8,300,29.5
0,2,4,110,24.5
0,2,4,130,29.5
0,2,4,170,29.5
0,2,4,130,29.5
0,2,4,130,20
0,2,4,130,24.5
0,3.9,6,193,21
0,3.8,6,193,26.5
0,4.6,8,260,23.5
0,2.3,4,143,22.5
0,3,6,155,22.5
0,3,6,155,20.5
0,3,6,201,21.5
0,3.9,8,280,17
0,2.8,4,175,18
0,4.2,6,275,18.5
0,4.3,6,190,17
0,4.8,8,285,15
0,6,8,300,30
0,4.3,6,190,25.5
0,6,8,325,30
0,2.4,4,160,25.5
0,3,6,240,35
0,2.4,4,160,34.5
0,3,6,240,40
0,1.7,4,115,48.5
0,1.7,4,127,35
0,1.7,4,117,28
0,1.4,4,93,23
0,1.7,4,115,22.5
0,2,4,160,63
0,2.4,4,160,21.5
0,2.4,4,160,21.5
0,2,3,73,19.5
0,3.5,6,240,22.5
0,3.5,6,240,11
0,3.5,6,240,31
0,2.2,4,240,31
0,6,8,316,31
0,1.6,4,103,30
0,1.6,4,103,30
0,1.6,4,103,30
0,2,4,138,23
0,2,4,138,23
0,2,4,138,23
0,2.7,6,173,22.5
0,2.7,6,170,21.5
0,2.7,6,170,21.5
0,2.7,6,172,19
0,3.5,6,194,17
0,3.5,6,194,22
0,3.5,6,280,22
0,4.5,8,315,22
0,3.5,6,260,22.5
0,3.5,6,260,20
0,3.5,6,280,20
0,3.5,6,255,17.5
0,4.5,8,340,19
0,4.5,8,340,22
0,4.2,6,275,23
0,3.2,6,193,20.5
0,3,6,235,23
0,4.2,8,294,23
0,4.2,8,390,20.5
0,4.2,8,294,22
0,4.2,8,294,22
0,4.2,8,390,19.5
0,4.2,8,294,19.5
0,4.2,8,294,22
0,4.2,8,390,21.5
0,4.2,8,390,18.5
0,2.5,6,192,22
0,3,6,227,17.5
0,4,6,195,21
0,2.4,4,150,26.5
0,4,6,190,23.5
0,3.5,6,195,28.5
0,2.4,4,138,29.5
0,2.7,6,170,29.5
0,1.6,4,104,19
0,1.6,4,104,17.5
0,1.6,4,104,28
0,3.5,6,195,28
0,3.5,6,192,28
0,1.8,4,124,14
0,1.8,4,124,19.5
0,1.8,4,124,14
0,4.6,8,217,24.5
0,2.5,6,174,21.5
0,4.4,8,282,20.5
0,3.3,6,225,17
0,3,6,220,21
0,4.3,8,300,21.5
0,4.7,8,235,21
0,3,6,215,21.5
0,3,6,215,15
0,3,6,215,21
0,4.3,8,290,20.5
0,4.7,8,235,15.5
0,3.3,6,230,23
0,4.3,8,300,23
0,4.6,8,302,20.5
0,3,6,232,20.5
0,3,6,232,15.5
0,3.9,8,280,21
0,3.9,8,280,21
0,5.4,8,300,21
0,4.6,8,239,26.5
0,4.6,8,239,17
0,4.6,8,239,21.5
0,2.3,4,143,25.5
0,4,6,207,25.5
0,3,6,200,21.5
0,1.8,4,142,21
0,1.8,4,142,23.5
0,1.3,-1,197,28
0,1.3,-1,238,26
0,2,4,130,22
0,2,4,148,22.5
0,2.3,4,160,22
0,2.3,4,160,18.5
0,1.8,4,189,23
0,2.6,6,168,23
0,2.6,6,168,22.5
0,2.6,6,168,22.5
0,3.2,6,349,20
0,3.2,6,215,16
0,3.2,6,215,23
0,3.2,6,215,19.5
0,3.2,6,215,23
0,5,8,302,23
0,5.5,12,493,20
0,3.2,6,215,18
0,5,8,302,13.5
0,3.2,6,221,15.5
0,3.2,6,221,22
0,5,8,302,20
0,5,8,302,19.5
0,5,8,292,17.5
0,5,8,288,16
0,4.3,8,275,25
0,5,8,302,19.5
0,5,8,302,21
0,5.5,8,493,21
0,5.5,12,493,21
0,2.3,4,192,20
0,3.2,6,349,19.5
0,4.6,8,224,18.5
0,4.6,8,224,22.5
0,4.6,8,224,23.5
0,4.6,8,302,22.5
0,4.2,6,201,32.5
0,4,6,210,29.5
0,3,6,155,21.5
0,3,6,155,24.5
0,3,6,201,24.5
0,1.6,4,115,19
0,1.6,4,163,22
0,3.5,6,205,22
0,3,6,210,17
0,3,6,210,24
0,3.8,6,215,23
0,2.4,4,160,23
0,3.8,6,230,23.5
0,2,4,120,23.5
0,2,4,271,18.5
0,2,4,120,24
0,2,4,120,24
0,2.4,4,160,22.5
0,3.8,6,215,16
0,2.4,4,160,18.5
0,3.5,6,287,22.5
0,3.5,6,287,21.5
0,2.5,4,175,31.5
0,3.5,6,245,31.5
0,3.3,6,180,25.5
0,3.5,6,265,16
0,3.5,6,265,18.5
0,3.5,6,245,24.5
0,5.6,8,305,28
0,3.5,6,240,22.5
0,3.5,6,240,22.5
0,3.5,6,240,24.5
0,1.8,4,126,25
0,1.8,4,126,25
0,2.5,4,165,22.5
0,5.6,8,305,21
0,3.3,6,180,28.5
0,3.4,6,170,28.5
0,2.2,4,140,32.5
0,3.4,6,185,20.5
0,3.4,6,185,22
0,4.6,8,275,20.5
0,3.4,6,175,22
0,3.8,6,200,24.5
0,3.8,6,200,22
0,5.7,8,340,16
0,3.4,6,185,24
0,3.4,6,185,25.5
0,2.2,4,140,25
0,2.2,4,140,24
0,1.8,4,130,24
0,3.6,6,315,25
0,3.6,6,315,25
0,3.6,6,477,30.5
0,3.6,6,315,29
0,2.7,6,228,24
0,3.2,6,258,30.5
0,4.5,8,340,30.5
0,2,4,210,30.5
0,2,4,210,30.5
0,2,4,210,23.5
0,2,4,210,35
0,2.3,4,250,33
0,2.3,4,250,24.5
0,2.3,4,220,24.5
0,2.2,4,140,25
0,2.2,4,140,23.5
0,3,6,182,21
0,2.2,4,140,24.5
0,2.2,4,140,24.5
0,2.2,4,140,24.5
0,2.2,4,140,22.5
0,2.2,4,143,22.5
0,1.5,4,108,23.5
0,1.5,4,108,28
0,2.5,4,165,28
0,2.5,4,165,26.5
0,2.5,4,165,26
0,2,4,227,27.5
0,2.5,4,300,23.5
0,2.5,4,165,20.5
0,2.5,4,165,20
0,2.5,4,165,19.5
0,3,6,212,25
0,3,6,212,25
0,2.5,4,165,28.5
0,2.3,4,155,25
0,2.3,4,155,28.5
0,2.3,4,155,24.5
0,2,4,119,24.5
0,2,4,119,25
0,2.5,6,155,28.5
0,2.5,6,165,36
0,2.7,6,185,36
0,4,6,245,36
0,3,6,210,36
0,3,6,210,39
0,2.4,4,157,39
0,3,6,210,21
0,2.4,4,157,15
0,3.3,6,225,32.5
0,3.3,6,225,29
0,3,6,210,55
0,1.8,4,180,24.5
0,1.8,4,130,15.5
0,1.8,4,130,23
0,1.8,4,130,23
0,1.5,4,108,24.5
0,1.5,4,108,15.5
0,1.5,4,108,18
0,3.3,6,230,27.5
0,4.7,8,325,27.5
0,1.8,4,130,27
0,1.8,4,138,25.5
0,1.5,4,110,42
0,2.4,4,161,27.5
0,4.7,8,240,27
0,3.3,6,230,26.5
0,3.3,6,230,26.5
0,2.4,4,142,22.5
0,3.4,6,190,21.5
0,3.4,6,190,21.5
0,2,4,115,17.5
0,1.8,4,180,23
0,2,4,115,24.5
0,2.8,6,200,25.5
0,1.9,4,100,23.5
0,1.8,4,150,21.5
0,2,4,115,24
0,1.8,4,170,23.5
0,1.8,4,170,24
0,2.8,6,190,22.5
0,4,8,270,25.5
0,4,8,270,23.5
0,4.2,8,335,17.5
0,6,12,420,0
0,3.2,6,220,0
0,2.3,5,242,0
0,2.4,5,197,0
0,1.9,4,170,0
0,2.5,5,208,0
0,2.5,5,300,0
0,2.3,5,247,0
0,2.5,5,194,0
0,2.9,6,208,0
0,2.9,6,268,0
0,1.9,4,170,0
0,2.5,5,208,0
0,2.9,6,268,0
